feature_set,feature_count,model,fold,metric_scope,class_label,rows,accuracy,balanced_accuracy,macro_f1,precision,recall,f1,support,train_rows,test_rows,train_groups,test_groups,group_overlap_count
expanded154,154,logistic_balanced,2,class,normal,34,,,,0.5714285714285714,0.5714285714285714,0.5714285714285714,7,147,34,1|2|3|4|5|6|8|10|11|12|13|14|17|18|19|20|21|22|23|24|26|27|29|30|32|33,7|9|15|16|25|28|31,0
expanded154,154,logistic_balanced,2,class,fault,34,,,,0.5454545454545454,0.5,0.5217391304347826,12,147,34,1|2|3|4|5|6|8|10|11|12|13|14|17|18|19|20|21|22|23|24|26|27|29|30|32|33,7|9|15|16|25|28|31,0
expanded154,154,logistic_balanced,2,class,task,34,,,,0.0,0.0,0.0,7,147,34,1|2|3|4|5|6|8|10|11|12|13|14|17|18|19|20|21|22|23|24|26|27|29|30|32|33,7|9|15|16|25|28|31,0
expanded154,154,logistic_balanced,2,class,activity,34,,,,0.5714285714285714,1.0,0.7272727272727273,8,147,34,1|2|3|4|5|6|8|10|11|12|13|14|17|18|19|20|21|22|23|24|26|27|29|30|32|33,7|9|15|16|25|28|31,0
expanded154,154,dummy_most_frequent,3,overall,all,36,0.3888888888888889,0.25,0.14,0.09722222222222222,0.25,0.14,36,145,36,1|4|5|7|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|25|28|29|30|31|32,2|3|6|8|24|26|27|33,0
expanded154,154,dummy_most_frequent,3,class,normal,36,,,,0.0,0.0,0.0,8,145,36,1|4|5|7|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|25|28|29|30|31|32,2|3|6|8|24|26|27|33,0
expanded154,154,dummy_most_frequent,3,class,fault,36,,,,0.3888888888888889,1.0,0.56,14,145,36,1|4|5|7|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|25|28|29|30|31|32,2|3|6|8|24|26|27|33,0
expanded154,154,dummy_most_frequent,3,class,task,36,,,,0.0,0.0,0.0,6,145,36,1|4|5|7|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|25|28|29|30|31|32,2|3|6|8|24|26|27|33,0
expanded154,154,dummy_most_frequent,3,class,activity,36,,,,0.0,0.0,0.0,8,145,36,1|4|5|7|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|25|28|29|30|31|32,2|3|6|8|24|26|27|33,0
expanded154,154,logistic_balanced,3,overall,all,36,0.4166666666666667,0.4330357142857143,0.43792172739541163,0.4951923076923077,0.4330357142857143,0.43792172739541163,36,145,36,1|4|5|7|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|25|28|29|30|31|32,2|3|6|8|24|26|27|33,0
expanded154,154,logistic_balanced,3,class,normal,36,,,,0.25,0.25,0.25,8,145,36,1|4|5|7|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|25|28|29|30|31|32,2|3|6|8|24|26|27|33,0
expanded154,154,logistic_balanced,3,class,fault,36,,,,0.5,0.35714285714285715,0.4166666666666667,14,145,36,1|4|5|7|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|25|28|29|30|31|32,2|3|6|8|24|26|27|33,0
expanded154,154,logistic_balanced,3,class,task,36,,,,0.23076923076923078,0.5,0.3157894736842105,6,145,36,1|4|5|7|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|25|28|29|30|31|32,2|3|6|8|24|26|27|33,0
expanded154,154,logistic_balanced,3,class,activity,36,,,,1.0,0.625,0.7692307692307693,8,145,36,1|4|5|7|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|25|28|29|30|31|32,2|3|6|8|24|26|27|33,0
expanded154,154,dummy_most_frequent,4,overall,all,39,0.28205128205128205,0.25,0.11,0.07051282051282051,0.25,0.11,39,142,39,1|2|3|4|6|7|8|9|10|12|13|14|15|16|19|20|21|23|24|25|26|27|28|29|31|32|33,5|11|17|18|22|30,0
expanded154,154,dummy_most_frequent,4,class,normal,39,,,,0.0,0.0,0.0,9,142,39,1|2|3|4|6|7|8|9|10|12|13|14|15|16|19|20|21|23|24|25|26|27|28|29|31|32|33,5|11|17|18|22|30,0
expanded154,154,dummy_most_frequent,4,class,fault,39,,,,0.28205128205128205,1.0,0.44,11,142,39,1|2|3|4|6|7|8|9|10|12|13|14|15|16|19|20|21|23|24|25|26|27|28|29|31|32|33,5|11|17|18|22|30,0
expanded154,154,dummy_most_frequent,4,class,task,39,,,,0.0,0.0,0.0,9,142,39,1|2|3|4|6|7|8|9|10|12|13|14|15|16|19|20|21|23|24|25|26|27|28|29|31|32|33,5|11|17|18|22|30,0
expanded154,154,dummy_most_frequent,4,class,activity,39,,,,0.0,0.0,0.0,10,142,39,1|2|3|4|6|7|8|9|10|12|13|14|15|16|19|20|21|23|24|25|26|27|28|29|31|32|33,5|11|17|18|22|30,0
expanded154,154,logistic_balanced,4,overall,all,39,0.5641025641025641,0.5585858585858586,0.5158492822966507,0.5720238095238095,0.5585858585858585,0.5158492822966507,39,142,39,1|2|3|4|6|7|8|9|10|12|13|14|15|16|19|20|21|23|24|25|26|27|28|29|31|32|33,5|11|17|18|22|30,0
expanded154,154,logistic_balanced,4,class,normal,39,,,,0.5,0.1111111111111111,0.18181818181818182,9,142,39,1|2|3|4|6|7|8|9|10|12|13|14|15|16|19|20|21|23|24|25|26|27|28|29|31|32|33,5|11|17|18|22|30,0
expanded154,154,logistic_balanced,4,class,fault,39,,,,0.75,0.5454545454545454,0.631578947368421,11,142,39,1|2|3|4|6|7|8|9|10|12|13|14|15|16|19|20|21|23|24|25|26|27|28|29|31|32|33,5|11|17|18|22|30,0
expanded154,154,logistic_balanced,4,class,task,39,,,,0.4666666666666667,0.7777777777777778,0.5833333333333334,9,142,39,1|2|3|4|6|7|8|9|10|12|13|14|15|16|19|20|21|23|24|25|26|27|28|29|31|32|33,5|11|17|18|22|30,0
expanded154,154,logistic_balanced,4,class,activity,39,,,,0.5714285714285714,0.8,0.6666666666666666,10,142,39,1|2|3|4|6|7|8|9|10|12|13|14|15|16|19|20|21|23|24|25|26|27|28|29|31|32|33,5|11|17|18|22|30,0
expanded154,154,dummy_most_frequent,5,overall,all,35,0.34285714285714286,0.25,0.1276595744680851,0.08571428571428572,0.25,0.1276595744680851,35,146,35,1|2|3|5|6|7|8|9|11|12|13|15|16|17|18|20|21|22|24|25|26|27|28|30|31|33,4|10|14|19|23|29|32,0
expanded154,154,dummy_most_frequent,5,class,normal,35,,,,0.0,0.0,0.0,6,146,35,1|2|3|5|6|7|8|9|11|12|13|15|16|17|18|20|21|22|24|25|26|27|28|30|31|33,4|10|14|19|23|29|32,0
expanded154,154,dummy_most_frequent,5,class,fault,35,,,,0.34285714285714286,1.0,0.5106382978723404,12,146,35,1|2|3|5|6|7|8|9|11|12|13|15|16|17|18|20|21|22|24|25|26|27|28|30|31|33,4|10|14|19|23|29|32,0
expanded154,154,dummy_most_frequent,5,class,task,35,,,,0.0,0.0,0.0,8,146,35,1|2|3|5|6|7|8|9|11|12|13|15|16|17|18|20|21|22|24|25|26|27|28|30|31|33,4|10|14|19|23|29|32,0
expanded154,154,dummy_most_frequent,5,class,activity,35,,,,0.0,0.0,0.0,9,146,35,1|2|3|5|6|7|8|9|11|12|13|15|16|17|18|20|21|22|24|25|26|27|28|30|31|33,4|10|14|19|23|29|32,0
expanded154,154,logistic_balanced,5,overall,all,35,0.4857142857142857,0.4965277777777778,0.5011781696564306,0.5833333333333333,0.4965277777777778,0.5011781696564306,35,146,35,1|2|3|5|6|7|8|9|11|12|13|15|16|17|18|20|21|22|24|25|26|27|28|30|31|33,4|10|14|19|23|29|32,0
expanded154,154,logistic_balanced,5,class,normal,35,,,,0.5,0.5,0.5,6,146,35,1|2|3|5|6|7|8|9|11|12|13|15|16|17|18|20|21|22|24|25|26|27|28|30|31|33,4|10|14|19|23|29|32,0
expanded154,154,logistic_balanced,5,class,fault,35,,,,0.5,0.4166666666666667,0.45454545454545453,12,146,35,1|2|3|5|6|7|8|9|11|12|13|15|16|17|18|20|21|22|24|25|26|27|28|30|31|33,4|10|14|19|23|29|32,0
expanded154,154,logistic_balanced,5,class,task,35,,,,0.3333333333333333,0.625,0.43478260869565216,8,146,35,1|2|3|5|6|7|8|9|11|12|13|15|16|17|18|20|21|22|24|25|26|27|28|30|31|33,4|10|14|19|23|29|32,0
expanded154,154,logistic_balanced,5,class,activity,35,,,,1.0,0.4444444444444444,0.6153846153846154,9,146,35,1|2|3|5|6|7|8|9|11|12|13|15|16|17|18|20|21|22|24|25|26|27|28|30|31|33,4|10|14|19|23|29|32,0
