dataset_id,feature,sensor,stat,coefficient_mean,coefficient_std,abs_coefficient_mean,abs_coefficient_std,rank_abs_coefficient
main_no_event20,p_net_supply_temperature__median,p_net_supply_temperature,median,-0.01997547851596268,0.06444330054409445,0.05576441474720516,0.027651875566057024,66
main_no_event20,outdoor_temperature__missing_rate,outdoor_temperature,missing_rate,0.0,0.0,0.0,0.0,67
main_no_event20,p_hc1_return_temperature__missing_rate,p_hc1_return_temperature,missing_rate,0.0,0.0,0.0,0.0,68
main_no_event20,s_hc1_supply_temperature__missing_rate,s_hc1_supply_temperature,missing_rate,0.0,0.0,0.0,0.0,69
main_no_event20,s_hc1_supply_temperature_setpoint__missing_rate,s_hc1_supply_temperature_setpoint,missing_rate,0.0,0.0,0.0,0.0,70
strict_no_event20_event67,s_hc1_supply_temperature__last_minus_first,s_hc1_supply_temperature,last_minus_first,-0.531199718136498,0.2247380550249304,0.531199718136498,0.2247380550249304,1
strict_no_event20_event67,p_net_supply_temperature__last_minus_first,p_net_supply_temperature,last_minus_first,-0.5025525114850786,0.21000985807185435,0.5025525114850786,0.21000985807185435,2
strict_no_event20_event67,p_net_return_temperature__std,p_net_return_temperature,std,0.4853479365549781,0.1943290447943154,0.4853479365549781,0.1943290447943154,3
strict_no_event20_event67,p_net_return_temperature__min,p_net_return_temperature,min,-0.47578582820549453,0.23014830663147462,0.47578582820549453,0.23014830663147462,4
strict_no_event20_event67,p_hc1_return_temperature__last_minus_first,p_hc1_return_temperature,last_minus_first,-0.3254988567345833,0.47474443266991495,0.4731731416062157,0.27920087947320404,5
strict_no_event20_event67,p_net_meter_flow__min,p_net_meter_flow,min,-0.39424002463264596,0.33458514864460637,0.4480539083319643,0.23513472097296606,6
strict_no_event20_event67,p_net_supply_temperature__min,p_net_supply_temperature,min,-0.44137380635007484,0.17316100929170689,0.44137380635007484,0.17316100929170689,7
strict_no_event20_event67,p_hc1_return_temperature__std,p_hc1_return_temperature,std,0.44083338732186095,0.15430170840208246,0.44083338732186095,0.15430170840208246,8
strict_no_event20_event67,p_net_return_temperature__last_minus_first,p_net_return_temperature,last_minus_first,-0.4248131224357118,0.2756136877463642,0.4248131224357118,0.2756136877463642,9
strict_no_event20_event67,s_hc1_supply_temperature__min,s_hc1_supply_temperature,min,-0.41716433490775795,0.19932484827484576,0.41716433490775795,0.19932484827484576,10
strict_no_event20_event67,outdoor_temperature__max,outdoor_temperature,max,0.409159744845938,0.08296320861219537,0.409159744845938,0.08296320861219537,11
strict_no_event20_event67,outdoor_temperature__last_minus_first,outdoor_temperature,last_minus_first,0.3998336849856604,0.2858269805139779,0.3998336849856604,0.2858269805139779,12
strict_no_event20_event67,p_net_meter_heat_power__min,p_net_meter_heat_power,min,-0.2244444808248487,0.38835876231092165,0.38462756415738847,0.1699080062637817,13
strict_no_event20_event67,s_hc1_supply_temperature__max,s_hc1_supply_temperature,max,-0.38338605212799415,0.10671763822581481,0.38338605212799415,0.10671763822581481,14
strict_no_event20_event67,p_net_meter_heat_power__max,p_net_meter_heat_power,max,0.32153292534692046,0.2245405314913922,0.32708310439249294,0.21428609710229518,15
strict_no_event20_event67,p_hc1_return_temperature__mean,p_hc1_return_temperature,mean,0.316620751785304,0.10463178504155037,0.316620751785304,0.10463178504155037,16
strict_no_event20_event67,p_net_meter_flow__last_minus_first,p_net_meter_flow,last_minus_first,-0.1802868818560212,0.3313379776298338,0.29801872704712007,0.19848199677314465,17
strict_no_event20_event67,p_net_meter_heat_power__last_minus_first,p_net_meter_heat_power,last_minus_first,-0.2314487183639721,0.2806288873634138,0.27713580891696343,0.22295265917490104,18
strict_no_event20_event67,p_net_meter_heat_power__mean,p_net_meter_heat_power,mean,0.22871101458091983,0.1523486888209891,0.24143691671900624,0.125424488359695,19
strict_no_event20_event67,s_hc1_supply_temperature_setpoint__min,s_hc1_supply_temperature_setpoint,min,0.24006145500916265,0.14937091490092547,0.24006145500916265,0.14937091490092547,20
strict_no_event20_event67,p_hc1_return_temperature__median,p_hc1_return_temperature,median,0.23332933203396453,0.15768790181298228,0.23332933203396453,0.15768790181298228,21
strict_no_event20_event67,p_net_meter_flow__max,p_net_meter_flow,max,-0.19662461834643685,0.2623307692050961,0.23232276736578522,0.22288258759034738,22
strict_no_event20_event67,p_net_meter_heat_power__median,p_net_meter_heat_power,median,0.21942169626125496,0.15337024581212164,0.23206525343210743,0.12801144860926825,23
strict_no_event20_event67,s_hc1_supply_temperature_setpoint__median,s_hc1_supply_temperature_setpoint,median,-0.23011305925060874,0.10385505480087381,0.23011305925060874,0.10385505480087381,24
strict_no_event20_event67,p_net_meter_energy__std,p_net_meter_energy,std,0.19704345565000864,0.13573055117132085,0.20779177299753307,0.11394586711491038,25
