threshold,rows,accuracy,balanced_accuracy,macro_f1,roc_auc,precision_target,recall_target,f1_target,normal_fpr,tn,fp,fn,tp,dataset,target_class,policy_variant,feature_set,feature_count,model,fold,metric_scope,train_rows,test_rows,train_groups,test_groups,group_overlap_count,dummy_balanced_accuracy,balanced_accuracy_lift_vs_dummy,fold_balanced_accuracy_std,fold_recall_std,fold_normal_fpr_std,logistic_balanced_accuracy,logistic_recall_target,logistic_normal_fpr,logistic_fold_ba_std,delta_ba_vs_logistic,delta_recall_vs_logistic,delta_fpr_vs_logistic,delta_fold_ba_std_vs_logistic,passes_gate_base,passes_boosting_vs_logistic,decision_candidate,target_decision,overall_decision
0.4,81,0.49382716049382713,0.465527950310559,0.4535132466677637,0.3732919254658385,0.543859649122807,0.6739130434782609,0.6019417475728155,0.7428571428571429,9,26,15,31,activity_post_all,activity,post_all,compact13,13,logistic_balanced,all,aggregate,,81,,,0,0.5,-0.03447204968944101,0.07029580178109762,0.18619401138743213,0.10923875949480441,0.3739130434782609,0.34782608695652173,0.6,0.07029580178109762,0.09161490683229812,0.32608695652173914,0.1428571428571429,0.0,False,False,window_label_review_required,gate_iteration_needed,return_to_window_label_design
0.5,81,0.37037037037037035,0.3739130434782609,0.36998627421076713,0.3732919254658385,0.43243243243243246,0.34782608695652173,0.3855421686746988,0.6,14,21,30,16,activity_post_all,activity,post_all,compact13,13,logistic_balanced,all,aggregate,,81,,,0,0.5,-0.12608695652173912,0.07029580178109762,0.18619401138743213,0.10923875949480441,0.3739130434782609,0.34782608695652173,0.6,0.07029580178109762,0.0,0.0,0.0,0.0,False,False,window_label_review_required,gate_iteration_needed,return_to_window_label_design
0.6,81,0.38271604938271603,0.415527950310559,0.3607954545454546,0.3732919254658385,0.4,0.17391304347826086,0.24242424242424243,0.34285714285714286,23,12,38,8,activity_post_all,activity,post_all,compact13,13,logistic_balanced,all,aggregate,,81,,,0,0.5,-0.084472049689441,0.07029580178109762,0.18619401138743213,0.10923875949480441,0.3739130434782609,0.34782608695652173,0.6,0.07029580178109762,0.041614906832298126,-0.17391304347826086,-0.2571428571428571,0.0,False,False,window_label_review_required,gate_iteration_needed,return_to_window_label_design
0.4,81,0.5679012345679012,0.5444099378881988,0.5398474273656874,0.6055900621118012,0.6,0.717391304347826,0.6534653465346535,0.6285714285714286,13,22,13,33,activity_post_all,activity,post_all,compact13,13,xgboost_balanced,all,aggregate,,81,,,0,0.5,0.0444099378881988,0.11059504943571197,0.1988547456726724,0.12481562365864719,0.3739130434782609,0.34782608695652173,0.6,0.07029580178109762,0.17049689440993793,0.3695652173913043,0.02857142857142858,0.040299247654614345,False,False,window_label_review_required,gate_iteration_needed,return_to_window_label_design
0.5,81,0.5802469135802469,0.568944099378882,0.5691489361702128,0.6055900621118012,0.625,0.6521739130434783,0.6382978723404256,0.5142857142857142,17,18,16,30,activity_post_all,activity,post_all,compact13,13,xgboost_balanced,all,aggregate,,81,,,0,0.5,0.06894409937888202,0.11059504943571197,0.1988547456726724,0.12481562365864719,0.3739130434782609,0.34782608695652173,0.6,0.07029580178109762,0.19503105590062114,0.30434782608695654,-0.08571428571428574,0.040299247654614345,False,False,window_label_review_required,gate_iteration_needed,return_to_window_label_design
0.6,81,0.5679012345679012,0.5819875776397516,0.5676376391642519,0.6055900621118012,0.6666666666666666,0.4782608695652174,0.5569620253164557,0.3142857142857143,24,11,24,22,activity_post_all,activity,post_all,compact13,13,xgboost_balanced,all,aggregate,,81,,,0,0.5,0.08198757763975162,0.11059504943571197,0.1988547456726724,0.12481562365864719,0.3739130434782609,0.34782608695652173,0.6,0.07029580178109762,0.20807453416149074,0.13043478260869568,-0.2857142857142857,0.040299247654614345,False,False,window_label_review_required,gate_iteration_needed,return_to_window_label_design
0.4,81,0.5679012345679012,0.5,0.36220472440944884,0.5,0.5679012345679012,1.0,0.7244094488188977,1.0,0,35,0,46,activity_post_all,activity,post_all,expanded154,154,dummy_most_frequent,all,aggregate,,81,,,0,0.5,0.0,0.0,0.0,0.0,0.658695652173913,0.717391304347826,0.4,0.12760849108395808,-0.15869565217391302,0.28260869565217395,0.6,-0.12760849108395808,False,False,window_label_review_required,gate_iteration_needed,return_to_window_label_design
0.5,81,0.5679012345679012,0.5,0.36220472440944884,0.5,0.5679012345679012,1.0,0.7244094488188977,1.0,0,35,0,46,activity_post_all,activity,post_all,expanded154,154,dummy_most_frequent,all,aggregate,,81,,,0,0.5,0.0,0.0,0.0,0.0,0.658695652173913,0.717391304347826,0.4,0.12760849108395808,-0.15869565217391302,0.28260869565217395,0.6,-0.12760849108395808,False,False,window_label_review_required,gate_iteration_needed,return_to_window_label_design
0.6,81,0.5679012345679012,0.5,0.36220472440944884,0.5,0.5679012345679012,1.0,0.7244094488188977,1.0,0,35,0,46,activity_post_all,activity,post_all,expanded154,154,dummy_most_frequent,all,aggregate,,81,,,0,0.5,0.0,0.0,0.0,0.0,0.658695652173913,0.717391304347826,0.4,0.12760849108395808,-0.15869565217391302,0.28260869565217395,0.6,-0.12760849108395808,False,False,window_label_review_required,gate_iteration_needed,return_to_window_label_design
0.4,81,0.6419753086419753,0.6232919254658386,0.6233766233766234,0.7459627329192546,0.660377358490566,0.7608695652173914,0.7070707070707071,0.5142857142857142,17,18,11,35,activity_post_all,activity,post_all,expanded154,154,lightgbm_balanced,all,aggregate,,81,,,0,0.5,0.12329192546583856,0.16013603595879855,0.16338906834400208,0.30865262012381667,0.658695652173913,0.717391304347826,0.4,0.12760849108395808,-0.03540372670807446,0.0434782608695653,0.11428571428571421,0.03252754487484047,False,False,window_label_review_required,gate_iteration_needed,return_to_window_label_design
