accuracy,balanced_accuracy,precision,recall,f1,roc_auc,true_negative_count,false_positive_count,false_negative_count,true_positive_count,false_positive_rate,false_negative_rate,dataset_id,feature_set,feature_count,train_mode,model,fold,threshold,fixed_train_rows,candidate_train_rows_x,test_rows,test_normal_rows,test_fault_rows,train_groups,test_groups,candidate_train_rows_y,group_overlap_count
0.5,0.5,0.0,0.0,0.0,0.5,7,0,7,0,0.0,1.0,fault_no_event67,compact13,13,fixed_only,dummy_most_frequent,4,0.5,50,0,14,7,7,1|2|3|4|5|6|7|8|9|14|15|16|17|18|19|20|21|23|24|25|26|27|28|30|31,10|11|12|13|22|29,0,0
0.5,0.5,0.0,0.0,0.0,0.5,7,0,7,0,0.0,1.0,fault_no_event67,compact13,13,fixed_only,dummy_most_frequent,4,0.6,50,0,14,7,7,1|2|3|4|5|6|7|8|9|14|15|16|17|18|19|20|21|23|24|25|26|27|28|30|31,10|11|12|13|22|29,0,0
0.6,0.5,0.0,0.0,0.0,0.5,9,0,6,0,0.0,1.0,fault_no_event67,compact13,13,fixed_only,dummy_most_frequent,5,0.5,49,0,15,9,6,1|2|3|5|6|7|8|10|11|12|13|14|18|19|20|21|22|23|24|25|26|27|29|30,4|9|15|16|17|28|31,0,0
0.6,0.5,0.0,0.0,0.0,0.5,9,0,6,0,0.0,1.0,fault_no_event67,compact13,13,fixed_only,dummy_most_frequent,5,0.6,49,0,15,9,6,1|2|3|5|6|7|8|10|11|12|13|14|18|19|20|21|22|23|24|25|26|27|29|30,4|9|15|16|17|28|31,0,0
0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.9166666666666667,5,1,1,5,0.16666666666666666,0.16666666666666666,fault_no_event67,compact13,13,fixed_only,logistic_balanced,1,0.5,52,0,12,6,6,1|2|4|5|7|9|10|11|12|13|15|16|17|18|19|20|22|23|24|26|27|28|29|30|31,3|6|8|14|21|25,0,0
0.75,0.75,0.8,0.6666666666666666,0.7272727272727273,0.9166666666666667,5,1,2,4,0.16666666666666666,0.3333333333333333,fault_no_event67,compact13,13,fixed_only,logistic_balanced,1,0.6,52,0,12,6,6,1|2|4|5|7|9|10|11|12|13|15|16|17|18|19|20|22|23|24|26|27|28|29|30|31,3|6|8|14|21|25,0,0
0.9166666666666666,0.9,1.0,0.8,0.8888888888888888,1.0,7,0,1,4,0.0,0.2,fault_no_event67,compact13,13,fixed_only,logistic_balanced,2,0.5,52,0,12,7,5,1|2|3|4|6|7|8|9|10|11|12|13|14|15|16|17|18|21|22|23|25|27|28|29|30|31,5|19|20|24|26,0,0
0.8333333333333334,0.8,1.0,0.6,0.75,1.0,7,0,2,3,0.0,0.4,fault_no_event67,compact13,13,fixed_only,logistic_balanced,2,0.6,52,0,12,7,5,1|2|3|4|6|7|8|9|10|11|12|13|14|15|16|17|18|21|22|23|25|27|28|29|30|31,5|19|20|24|26,0,0
0.7272727272727273,0.7166666666666667,0.75,0.6,0.6666666666666666,0.8666666666666667,5,1,2,3,0.16666666666666666,0.4,fault_no_event67,compact13,13,fixed_only,logistic_balanced,3,0.5,53,0,11,6,5,3|4|5|6|8|9|10|11|12|13|14|15|16|17|19|20|21|22|24|25|26|28|29|31,1|2|7|18|23|27|30,0,0
0.7272727272727273,0.7166666666666667,0.75,0.6,0.6666666666666666,0.8666666666666667,5,1,2,3,0.16666666666666666,0.4,fault_no_event67,compact13,13,fixed_only,logistic_balanced,3,0.6,53,0,11,6,5,3|4|5|6|8|9|10|11|12|13|14|15|16|17|19|20|21|22|24|25|26|28|29|31,1|2|7|18|23|27|30,0,0
