dataset_id,model,threshold,scope,fault_scope,window_policy,balanced_accuracy,recall,normal_fpr,candidate_pass,decision
all_systems__fault_valve_actuator__report_pre_1d,lightgbm_depth3,0.5,all_systems,fault_valve_actuator,report_pre_1d,0.8417582417582418,0.7142857142857143,0.03076923076923077,True,window_model_candidate
all_systems__fault_valve_actuator__report_pre_1d,lightgbm_depth3,0.6,all_systems,fault_valve_actuator,report_pre_1d,0.8417582417582418,0.7142857142857143,0.03076923076923077,True,window_model_candidate
all_systems__fault_valve_actuator__report_pre_3d,lightgbm_depth3,0.4,all_systems,fault_valve_actuator,report_pre_3d,0.8417582417582418,0.7142857142857143,0.03076923076923077,True,window_model_candidate
all_systems__fault_valve_actuator__report_pre_3d,lightgbm_depth3,0.5,all_systems,fault_valve_actuator,report_pre_3d,0.8417582417582418,0.7142857142857143,0.03076923076923077,True,window_model_candidate
all_systems__fault_valve_actuator__report_pre_3d,lightgbm_depth3,0.6,all_systems,fault_valve_actuator,report_pre_3d,0.8417582417582418,0.7142857142857143,0.03076923076923077,True,window_model_candidate
all_systems__all_faults__report_pre_5d,hist_gradient_boosting,0.4,all_systems,all_faults,report_pre_5d,0.840224358974359,0.8958333333333334,0.2153846153846154,True,window_model_candidate
all_systems__all_faults__report_pre_7d,xgboost_depth3,0.4,all_systems,all_faults,report_pre_7d,0.8397708674304419,0.7872340425531915,0.1076923076923077,True,window_model_candidate
all_systems__fault_control_controller__report_pre_3d,random_forest_depth3,0.4,all_systems,fault_control_controller,report_pre_3d,0.8384615384615385,0.8,0.12307692307692308,True,window_model_candidate
system_dhw_storage__all_faults__report_pre_7d,logistic_balanced,0.6,system_dhw_storage,all_faults,report_pre_7d,0.8371459694989107,0.7037037037037037,0.029411764705882353,True,window_model_candidate
all_systems__all_faults__report_pre_5d,lightgbm_depth3,0.5,all_systems,all_faults,report_pre_5d,0.8370192307692308,0.8125,0.13846153846153847,True,window_model_candidate
