strategy,evaluation_scope,feature_set,model,fallback_threshold,rows,normal_rows,pre_event_rows,balanced_accuracy,precision,recall,f1,normal_fpr,tn,fp,fn,tp
system_specific_threshold,M1_CV,common13,random_forest_depth3,0.5,61,35,26,0.8131868131868132,0.8,0.7692307692307693,0.7843137254901961,0.14285714285714285,30,5,6,20
system_specific_threshold,M1_to_M2,common13,random_forest_depth3,0.5,51,30,21,0.6952380952380952,0.7333333333333333,0.5238095238095238,0.6111111111111112,0.13333333333333333,26,4,10,11
system_specific_threshold,M2_CV,common13,random_forest_depth3,0.5,51,30,21,0.8547619047619048,0.85,0.8095238095238095,0.8292682926829268,0.1,27,3,4,17
system_specific_threshold,M2_to_M1,common13,random_forest_depth3,0.5,61,35,26,0.7747252747252746,0.782608695652174,0.6923076923076923,0.7346938775510204,0.14285714285714285,30,5,8,18
system_specific_threshold,Pooled_M1_M2_group_CV,common13,random_forest_depth3,0.5,112,65,47,0.8474631751227496,0.8604651162790697,0.7872340425531915,0.8222222222222222,0.09230769230769231,59,6,10,37
system_specific_threshold,M1_CV,common13,random_forest_depth3,0.6,61,35,26,0.8274725274725274,0.8333333333333334,0.7692307692307693,0.8,0.11428571428571428,31,4,6,20
system_specific_threshold,M1_to_M2,common13,random_forest_depth3,0.6,51,30,21,0.6952380952380952,0.7333333333333333,0.5238095238095238,0.6111111111111112,0.13333333333333333,26,4,10,11
system_specific_threshold,M2_CV,common13,random_forest_depth3,0.6,51,30,21,0.8547619047619048,0.85,0.8095238095238095,0.8292682926829268,0.1,27,3,4,17
system_specific_threshold,M2_to_M1,common13,random_forest_depth3,0.6,61,35,26,0.7747252747252746,0.782608695652174,0.6923076923076923,0.7346938775510204,0.14285714285714285,30,5,8,18
system_specific_threshold,Pooled_M1_M2_group_CV,common13,random_forest_depth3,0.6,112,65,47,0.8474631751227496,0.8604651162790697,0.7872340425531915,0.8222222222222222,0.09230769230769231,59,6,10,37
system_specific_threshold,M1_CV,common13,random_forest_depth5,0.4,61,35,26,0.7604395604395604,0.75,0.6923076923076923,0.72,0.17142857142857143,29,6,8,18
system_specific_threshold,M1_to_M2,common13,random_forest_depth5,0.4,51,30,21,0.7476190476190476,0.6666666666666666,0.7619047619047619,0.7111111111111111,0.26666666666666666,22,8,5,16
system_specific_threshold,M2_CV,common13,random_forest_depth5,0.4,51,30,21,0.8428571428571427,0.7142857142857143,0.9523809523809523,0.8163265306122449,0.26666666666666666,22,8,1,20
