feature_set,model,threshold,m1_to_m2_balanced_accuracy,m2_to_m1_balanced_accuracy,pooled_balanced_accuracy,min_leave_manufacturer_ba,leave_manufacturer_ba_gap,min_recall,max_normal_fpr,m2_normal_fpr_vs_old_0_60,m2_fpr_improved_vs_old_failure,candidate_pass,decision
standard_common_plus_system,xgboost_depth3,0.5,0.45238095238095233,0.5302197802197802,0.618657937806874,0.45238095238095233,0.0778388278388279,0.23809523809523808,0.3333333333333333,0.3333333333333333,True,False,label_window_recheck_required
standard_optional_dhw,random_forest_depth3,0.6,0.47368421052631576,0.5041666666666667,0.5874241588527302,0.47368421052631576,0.03048245614035089,0.0,0.12244897959183673,0.05263157894736842,True,False,label_window_recheck_required
standard_common_plus_system,random_forest_depth3,0.6,0.48095238095238096,0.4818681318681319,0.5891980360065466,0.48095238095238096,0.0009157509157509125,0.09523809523809523,0.22857142857142856,0.13333333333333333,True,False,label_window_recheck_required
standard_optional_dhw,lightgbm_depth3,0.4,0.6255060728744939,0.475,0.5628792057363485,0.475,0.1505060728744939,0.25,0.3877551020408163,0.21052631578947367,True,False,label_window_recheck_required
standard_optional_dhw,extra_trees_depth3,0.4,0.5526315789473684,0.5208333333333334,0.5206839492553779,0.5208333333333334,0.03179824561403499,0.7083333333333334,0.8947368421052632,0.8947368421052632,False,False,label_window_recheck_required
standard_common,extra_trees_depth5,0.6,0.4571428571428572,0.5,0.5939443535188216,0.4571428571428572,0.042857142857142816,0.0,0.13333333333333333,0.13333333333333333,True,False,label_window_recheck_required
standard_common,extra_trees_depth5,0.4,0.4857142857142857,0.5560439560439561,0.5243862520458266,0.4857142857142857,0.07032967032967036,0.7692307692307693,0.9333333333333333,0.9333333333333333,False,False,label_window_recheck_required
standard_optional_dhw,random_forest_depth3,0.4,0.5708502024291497,0.5666666666666667,0.6161059018201875,0.5666666666666667,0.004183535762483093,0.6153846153846154,0.8666666666666667,0.47368421052631576,True,False,label_window_recheck_required
standard_common,random_forest_depth3,0.6,0.4547619047619048,0.510989010989011,0.6104746317512275,0.4547619047619048,0.05622710622710614,0.14285714285714285,0.2857142857142857,0.23333333333333334,True,False,label_window_recheck_required
standard_optional_dhw,extra_trees_depth5,0.5,0.5242914979757085,0.525,0.5595697738554881,0.5242914979757085,0.000708502024291513,0.15384615384615385,0.3673469387755102,0.10526315789473684,True,False,label_window_recheck_required
standard_common,extra_trees_depth3,0.4,0.5,0.5324175824175824,0.514238952536825,0.5,0.03241758241758241,0.8076923076923077,1.0,1.0,False,False,label_window_recheck_required
standard_common,xgboost_depth3,0.4,0.44285714285714284,0.5494505494505495,0.5824877250409165,0.44285714285714284,0.10659340659340666,0.2857142857142857,0.4307692307692308,0.4,True,False,label_window_recheck_required
standard_common,hist_gradient_boosting,0.5,0.4619047619047619,0.46703296703296704,0.6216039279869067,0.4619047619047619,0.0051282051282051655,0.07692307692307693,0.26666666666666666,0.26666666666666666,True,False,label_window_recheck_required
standard_common,lightgbm_depth3,0.6,0.5,0.48626373626373626,0.6381342062193126,0.48626373626373626,0.013736263736263743,0.11538461538461539,0.3333333333333333,0.3333333333333333,True,False,label_window_recheck_required
standard_common_plus_system,lightgbm_depth3,0.6,0.5,0.48626373626373626,0.6351882160392799,0.48626373626373626,0.013736263736263743,0.11538461538461539,0.3333333333333333,0.3333333333333333,True,False,label_window_recheck_required
standard_optional_dhw,random_forest_depth5,0.5,0.4838056680161943,0.65,0.49172642029784885,0.4838056680161943,0.16619433198380573,0.23076923076923078,0.4489795918367347,0.2631578947368421,True,False,label_window_recheck_required
standard_common,extra_trees_depth5,0.5,0.44047619047619047,0.46813186813186813,0.5725040916530278,0.44047619047619047,0.02765567765567767,0.3076923076923077,0.5,0.5,True,False,label_window_recheck_required
standard_common_plus_system,hist_gradient_boosting,0.5,0.4619047619047619,0.46703296703296704,0.5878887070376433,0.4619047619047619,0.0051282051282051655,0.07692307692307693,0.2923076923076923,0.26666666666666666,True,False,label_window_recheck_required
standard_common,random_forest_depth5,0.6,0.4547619047619048,0.5450549450549451,0.5921440261865794,0.4547619047619048,0.0902930402930403,0.14285714285714285,0.37142857142857144,0.23333333333333334,True,False,label_window_recheck_required
standard_common_plus_system,xgboost_depth3,0.6,0.40476190476190477,0.5153846153846154,0.6328968903436989,0.40476190476190477,0.11062271062271067,0.14285714285714285,0.3333333333333333,0.3333333333333333,True,False,label_window_recheck_required
standard_common_plus_system,xgboost_depth3,0.4,0.4357142857142857,0.55,0.5564648117839608,0.4357142857142857,0.11428571428571432,0.23809523809523808,0.46153846153846156,0.36666666666666664,True,False,label_window_recheck_required
standard_common_plus_system,extra_trees_depth5,0.5,0.4380952380952381,0.5010989010989011,0.5707037643207855,0.4380952380952381,0.063003663003663,0.14285714285714285,0.36923076923076925,0.26666666666666666,True,False,label_window_recheck_required
standard_common,hist_gradient_boosting,0.4,0.44999999999999996,0.4208791208791209,0.5333878887070377,0.4208791208791209,0.029120879120879073,0.3333333333333333,0.5428571428571428,0.43333333333333335,True,False,label_window_recheck_required
standard_common_plus_system,hist_gradient_boosting,0.4,0.44999999999999996,0.4208791208791209,0.5458265139116203,0.4208791208791209,0.029120879120879073,0.3333333333333333,0.5428571428571428,0.43333333333333335,True,False,label_window_recheck_required
standard_common,random_forest_depth5,0.4,0.4809523809523809,0.5,0.5386252045826514,0.4809523809523809,0.01904761904761909,0.723404255319149,1.0,0.8,False,False,label_window_recheck_required
standard_common_plus_system,random_forest_depth5,0.6,0.44047619047619047,0.5494505494505495,0.6057283142389526,0.44047619047619047,0.10897435897435903,0.047619047619047616,0.2857142857142857,0.16666666666666666,True,False,label_window_recheck_required
standard_optional_dhw,extra_trees_depth3,0.5,0.4858299595141701,0.5416666666666667,0.5460562603419746,0.4858299595141701,0.05583670715249667,0.07692307692307693,0.3673469387755102,0.10526315789473684,True,False,label_window_recheck_required
standard_common_plus_system,random_forest_depth3,0.4,0.4738095238095238,0.5,0.530278232405892,0.4738095238095238,0.02619047619047621,0.7142857142857143,1.0,0.7666666666666667,False,False,label_window_recheck_required
