evaluation_scope,feature_set,model,threshold,class,precision,recall,f1,support
M1_CV,standard_optional_dhw,xgboost_depth3,0.5,pre_event,0.4782608695652174,0.4583333333333333,0.46808510638297873,24
M1_CV,standard_optional_dhw,xgboost_depth3,0.6,normal,0.6,0.7,0.6461538461538462,30
M1_CV,standard_optional_dhw,xgboost_depth3,0.6,pre_event,0.5263157894736842,0.4166666666666667,0.46511627906976744,24
M1_to_M2,common13,dummy_most_frequent,0.4,normal,0.5882352941176471,1.0,0.7407407407407407,30
M1_to_M2,common13,dummy_most_frequent,0.4,pre_event,0.0,0.0,0.0,21
M1_to_M2,common13,dummy_most_frequent,0.5,normal,0.5882352941176471,1.0,0.7407407407407407,30
M1_to_M2,common13,dummy_most_frequent,0.5,pre_event,0.0,0.0,0.0,21
M1_to_M2,common13,dummy_most_frequent,0.6,normal,0.5882352941176471,1.0,0.7407407407407407,30
M1_to_M2,common13,dummy_most_frequent,0.6,pre_event,0.0,0.0,0.0,21
M1_to_M2,common13,extra_trees_depth3,0.4,normal,1.0,0.3,0.46153846153846156,30
M1_to_M2,common13,extra_trees_depth3,0.4,pre_event,0.5,1.0,0.6666666666666666,21
M1_to_M2,common13,extra_trees_depth3,0.5,normal,0.7352941176470589,0.8333333333333334,0.78125,30
M1_to_M2,common13,extra_trees_depth3,0.5,pre_event,0.7058823529411765,0.5714285714285714,0.631578947368421,21
M1_to_M2,common13,extra_trees_depth3,0.6,normal,0.6,1.0,0.75,30
M1_to_M2,common13,extra_trees_depth3,0.6,pre_event,1.0,0.047619047619047616,0.09090909090909091,21
M1_to_M2,common13,extra_trees_depth5,0.4,normal,0.9333333333333333,0.4666666666666667,0.6222222222222222,30
M1_to_M2,common13,extra_trees_depth5,0.4,pre_event,0.5555555555555556,0.9523809523809523,0.7017543859649122,21
M1_to_M2,common13,extra_trees_depth5,0.5,normal,0.6944444444444444,0.8333333333333334,0.7575757575757576,30
M1_to_M2,common13,extra_trees_depth5,0.5,pre_event,0.6666666666666666,0.47619047619047616,0.5555555555555556,21
M1_to_M2,common13,extra_trees_depth5,0.6,normal,0.6170212765957447,0.9666666666666667,0.7532467532467533,30
M1_to_M2,common13,extra_trees_depth5,0.6,pre_event,0.75,0.14285714285714285,0.24,21
M1_to_M2,common13,hist_gradient_boosting,0.4,normal,0.8333333333333334,0.8333333333333334,0.8333333333333334,30
M1_to_M2,common13,hist_gradient_boosting,0.4,pre_event,0.7619047619047619,0.7619047619047619,0.7619047619047619,21
M1_to_M2,common13,hist_gradient_boosting,0.5,normal,0.7317073170731707,1.0,0.8450704225352113,30
M1_to_M2,common13,hist_gradient_boosting,0.5,pre_event,1.0,0.47619047619047616,0.6451612903225806,21
M1_to_M2,common13,hist_gradient_boosting,0.6,normal,0.7317073170731707,1.0,0.8450704225352113,30
M1_to_M2,common13,hist_gradient_boosting,0.6,pre_event,1.0,0.47619047619047616,0.6451612903225806,21
M1_to_M2,common13,lightgbm_depth3,0.4,normal,0.8125,0.8666666666666667,0.8387096774193549,30
M1_to_M2,common13,lightgbm_depth3,0.4,pre_event,0.7894736842105263,0.7142857142857143,0.75,21
M1_to_M2,common13,lightgbm_depth3,0.5,normal,0.8181818181818182,0.9,0.8571428571428571,30
M1_to_M2,common13,lightgbm_depth3,0.5,pre_event,0.8333333333333334,0.7142857142857143,0.7692307692307693,21
M1_to_M2,common13,lightgbm_depth3,0.6,normal,0.7837837837837838,0.9666666666666667,0.8656716417910447,30
M1_to_M2,common13,lightgbm_depth3,0.6,pre_event,0.9285714285714286,0.6190476190476191,0.7428571428571429,21
M1_to_M2,common13,logistic_balanced,0.4,normal,0.6666666666666666,0.4,0.5,30
