evaluation_scope,feature_set,model,threshold,rows,normal_rows,pre_event_rows,balanced_accuracy,precision,recall,f1,normal_fpr,tn,fp,fn,tp
M2_to_M1,common13,lightgbm_depth3,0.4,61,35,26,0.7318681318681319,0.6923076923076923,0.6923076923076923,0.6923076923076923,0.22857142857142856,27,8,8,18
M2_to_M1,common13,lightgbm_depth3,0.5,61,35,26,0.7604395604395604,0.75,0.6923076923076923,0.72,0.17142857142857143,29,6,8,18
M2_to_M1,common13,lightgbm_depth3,0.6,61,35,26,0.7412087912087912,0.7391304347826086,0.6538461538461539,0.6938775510204082,0.17142857142857143,29,6,9,17
M2_to_M1,common13,logistic_balanced,0.4,61,35,26,0.654945054945055,0.6363636363636364,0.5384615384615384,0.5833333333333334,0.22857142857142856,27,8,12,14
M2_to_M1,common13,logistic_balanced,0.5,61,35,26,0.6593406593406593,0.7058823529411765,0.46153846153846156,0.5581395348837209,0.14285714285714285,30,5,14,12
M2_to_M1,common13,logistic_balanced,0.6,61,35,26,0.6401098901098901,0.6875,0.4230769230769231,0.5238095238095238,0.14285714285714285,30,5,15,11
M2_to_M1,common13,random_forest_depth3,0.4,61,35,26,0.6653846153846154,0.5757575757575758,0.7307692307692307,0.6440677966101694,0.4,21,14,7,19
M2_to_M1,common13,random_forest_depth3,0.5,61,35,26,0.7604395604395604,0.75,0.6923076923076923,0.72,0.17142857142857143,29,6,8,18
M2_to_M1,common13,random_forest_depth3,0.6,61,35,26,0.712087912087912,0.7777777777777778,0.5384615384615384,0.6363636363636364,0.11428571428571428,31,4,12,14
M2_to_M1,common13,random_forest_depth5,0.4,61,35,26,0.6653846153846154,0.5757575757575758,0.7307692307692307,0.6440677966101694,0.4,21,14,7,19
M2_to_M1,common13,random_forest_depth5,0.5,61,35,26,0.7461538461538462,0.72,0.6923076923076923,0.7058823529411765,0.2,28,7,8,18
M2_to_M1,common13,random_forest_depth5,0.6,61,35,26,0.712087912087912,0.7777777777777778,0.5384615384615384,0.6363636363636364,0.11428571428571428,31,4,12,14
M2_to_M1,common13,xgboost_depth3,0.4,61,35,26,0.7461538461538462,0.72,0.6923076923076923,0.7058823529411765,0.2,28,7,8,18
M2_to_M1,common13,xgboost_depth3,0.5,61,35,26,0.7412087912087912,0.7391304347826086,0.6538461538461539,0.6938775510204082,0.17142857142857143,29,6,9,17
M2_to_M1,common13,xgboost_depth3,0.6,61,35,26,0.7170329670329669,0.75,0.5769230769230769,0.6521739130434783,0.14285714285714285,30,5,11,15
M2_to_M1,standard_common,dummy_most_frequent,0.4,61,35,26,0.5,0.0,0.0,0.0,0.0,35,0,26,0
M2_to_M1,standard_common,dummy_most_frequent,0.5,61,35,26,0.5,0.0,0.0,0.0,0.0,35,0,26,0
